"","F40_ABC","F35_OFL"
"walleye_pollock_adult",0.313477601027052,0.360788022845976
"pacific_cod_adult",0.341262391159968,0.389352856347432
"arrowtooth_flounder_adult",0.150817280746092,0.169494862774834
"flathead_sole_adult",0.12679760100434,0.139789979291353
"octopus",0.739556618279913,0.864060853391647
"deep_water_flatfish",0.264832050569543,0.318853675311515
"sablefish_adult",0.131576094416956,0.131576220739442
"shallow_water_flatfish",0.167169731390854,0.196186411589854
"rex_sole_adult",0.194360314542642,0.216494298185849
"pacific_ocean_perch_adult",0.0370047246877456,0.0408873627604981
"slope_rockfish",0.0532774959510534,0.0610829212393191
"demersal_shelf_rockfish",0.0480684436724699,0.0558352972611124
"pelagic_shelf_rockfish",0.0421854097033802,0.0479676664401828
"atka_mackerel",0.207229944706924,0.235201205169506
"big_skate",0.110039135802855,0.126366415179986
"longnose_skate",0.112670673141903,0.130425786111596
"other_skates",0.198695538931217,0.241653947802253
"pacific_halibut_adult",0.0329362585027533,0.0366152720686299
"salmon_shark",0.0522283204447723,0.0577606470825737
"pacific_sleeper_shark",0.0511954392175524,0.05912178469032
